@relation bloodseeker

@attribute k numeric
@attribute d numeric
@attribute a numeric
@attribute gpm numeric
@attribute xpm numeric
@attribute win {1, 0}

@data
11,4,7,474,430,1
11,4,7,474,430,1
1,9,1,308,271,0
1,9,1,308,271,0
14,6,19,446,602,1
14,6,19,446,602,1
25,9,13,347,436,0
25,9,13,347,436,0
16,4,18,653,600,1
16,4,18,653,600,1
6,20,14,358,364,1
6,20,14,358,364,1
7,1,5,623,658,1
7,1,5,623,658,1
8,15,5,413,490,0
8,15,5,413,490,0
29,13,15,570,493,1
29,13,15,570,493,1
26,12,20,568,613,1
26,12,20,568,613,1
45,10,11,644,519,1
45,10,11,644,519,1
8,11,10,348,381,0
8,11,10,348,381,0
20,15,5,468,582,0
20,15,5,468,582,0
13,11,13,486,566,1
13,11,13,486,566,1
8,12,14,393,480,0
8,12,14,393,480,0
1,12,9,326,463,0
1,12,9,326,463,0
9,15,7,392,468,0
9,15,7,392,468,0
27,10,9,518,681,0
27,10,9,518,681,0
15,13,7,414,616,0
15,13,7,414,616,0
4,16,2,282,291,0
4,16,2,282,291,0
18,5,9,519,603,1
18,5,9,519,603,1
9,8,12,360,297,1
9,8,12,360,297,1
20,16,13,455,589,1
20,16,13,455,589,1
21,14,14,511,606,0
21,14,14,511,606,0
7,9,8,349,327,0
7,9,8,349,327,0
0,9,1,225,225,0
0,9,1,225,225,0
16,6,18,450,537,1
16,6,18,450,537,1
14,8,18,585,719,1
14,8,18,585,719,1
6,10,6,395,560,0
6,10,6,395,560,0
20,11,18,569,576,1
20,11,18,569,576,1
27,3,10,834,678,1
27,3,10,834,678,1
5,1,6,594,499,1
5,1,6,594,499,1
14,9,17,436,540,1
14,9,17,436,540,1
12,16,19,415,503,1
12,16,19,415,503,1
9,4,22,441,555,1
9,4,22,441,555,1
16,5,2,592,612,1
16,5,2,592,612,1
13,5,5,527,504,1
13,5,5,527,504,1
17,13,13,404,502,0
17,13,13,404,502,0
15,19,13,431,590,0
15,19,13,431,590,0
13,2,3,718,697,1
13,2,3,718,697,1
7,9,7,296,377,0
7,9,7,296,377,0
5,11,7,332,298,0
5,11,7,332,298,0
22,14,7,531,646,0
22,14,7,531,646,0
6,10,2,436,565,0
6,10,2,436,565,0
7,10,1,406,467,0
7,10,1,406,467,0
12,8,11,599,599,1
12,8,11,599,599,1
23,16,13,488,543,1
23,16,13,488,543,1
6,6,12,356,337,1
6,6,12,356,337,1
19,5,14,462,668,1
19,5,14,462,668,1
11,10,6,334,378,0
11,10,6,334,378,0
7,6,16,453,531,1
7,6,16,453,531,1
13,2,4,648,576,1
13,2,4,648,576,1
6,9,9,455,546,1
6,9,9,455,546,1
12,9,6,421,447,1
12,9,6,421,447,1
9,14,15,399,542,0
9,14,15,399,542,0
12,5,19,583,628,1
12,5,19,583,628,1
3,15,9,229,296,0
3,15,9,229,296,0
0,10,2,204,181,0
0,10,2,204,181,0
17,12,12,520,569,1
17,12,12,520,569,1
27,7,15,803,653,1
27,7,15,803,653,1
9,17,2,339,376,0
9,17,2,339,376,0
40,3,4,887,929,1
40,3,4,887,929,1
24,13,8,369,416,0
24,13,8,369,416,0
4,11,6,404,517,0
4,11,6,404,517,0
