@relation windrunner

@attribute k numeric
@attribute d numeric
@attribute a numeric
@attribute gpm numeric
@attribute xpm numeric
@attribute win {1,0}

@data
8,11,6,385,487,0
9,1,11,482,503,1
9,1,11,482,503,1
24,1,6,682,849,1
24,1,6,682,849,1
5,15,6,351,385,0
5,15,6,351,385,0
3,6,2,264,218,0
3,6,2,264,218,0
2,11,11,188,212,0
2,11,11,188,212,0
16,4,16,505,604,1
16,4,16,505,604,1
5,10,8,349,317,1
5,10,8,349,317,1
10,4,13,513,548,1
10,4,13,513,548,1
8,3,9,461,560,1
8,3,9,461,560,1
5,11,2,331,345,0
5,11,2,331,345,0
13,13,9,421,547,0
13,13,9,421,547,0
13,4,13,549,587,1
13,4,13,549,587,1
21,8,6,584,562,1
21,8,6,584,562,1
6,5,9,366,322,1
6,5,9,366,322,1
3,10,9,354,526,0
3,10,9,354,526,0
12,8,6,398,491,0
12,8,6,398,491,0
3,10,5,290,301,0
3,10,5,290,301,0
5,11,13,336,494,0
5,11,13,336,494,0
9,2,4,464,443,1
9,2,4,464,443,1
3,15,16,293,372,1
3,15,16,293,372,1
9,10,16,338,440,0
9,10,16,338,440,0
3,8,10,259,366,0
3,8,10,259,366,0
7,12,15,349,341,1
7,12,15,349,341,1
7,3,6,398,326,1
7,3,6,398,326,1
11,4,18,417,654,1
11,4,18,417,654,1
7,7,11,347,395,0
7,7,11,347,395,0
5,5,9,396,366,1
5,5,9,396,366,1
0,12,11,260,312,0
0,12,11,260,312,0
1,8,2,143,120,0
1,8,2,143,120,0
17,8,15,539,578,1
17,8,15,539,578,1
0,17,1,171,152,0
0,17,1,171,152,0
4,9,7,369,467,0
4,9,7,369,467,0
3,5,7,316,478,0
3,5,7,316,478,0
2,17,19,257,388,0
2,17,19,257,388,0
10,6,13,385,461,0
10,6,13,385,461,0
0,0,0,402,138,0
0,0,0,402,138,0
2,6,6,253,323,0
2,6,6,253,323,0
13,7,9,418,549,1
13,7,9,418,549,1
14,6,13,520,656,1
14,6,13,520,656,1
11,1,7,573,544,1
11,1,7,573,544,1
14,6,6,445,599,0
14,6,6,445,599,0
4,15,9,244,292,0
4,15,9,244,292,0
